"industry","year","month","total_sales"
"Automotive",2010,1,"184064"
"Automotive",2010,2,"190554"
"Automotive",2010,3,"247908"
"Automotive",2010,4,"234756"
"Automotive",2010,5,"238892"
"Automotive",2010,6,"235548"
"Automotive",2010,7,"245772"
"Automotive",2010,8,"242440"
"Automotive",2010,9,"226470"
"Automotive",2010,10,"225750"
"Automotive",2010,11,"216494"
"Automotive",2010,12,"239538"
"Fashion & Accessories",2010,1,"35016"
"Fashion & Accessories",2010,2,"38931"
"Fashion & Accessories",2010,3,"46320"
"Fashion & Accessories",2010,4,"45585"
"Fashion & Accessories",2010,5,"47113"
"Fashion & Accessories",2010,6,"43041"
"Fashion & Accessories",2010,7,"44800"
"Fashion & Accessories",2010,8,"47356"
"Fashion & Accessories",2010,9,"43169"
"Fashion & Accessories",2010,10,"46381"
"Fashion & Accessories",2010,11,"53311"
"Fashion & Accessories",2010,12,"74868"
"Food & Beverage",2010,1,"162291"
"Food & Beverage",2010,2,"153910"
"Food & Beverage",2010,3,"166165"
"Food & Beverage",2010,4,"162300"
"Food & Beverage",2010,5,"171658"
"Food & Beverage",2010,6,"164906"
"Food & Beverage",2010,7,"171101"
"Food & Beverage",2010,8,"167173"
"Food & Beverage",2010,9,"162361"
"Food & Beverage",2010,10,"167578"
"Food & Beverage",2010,11,"170449"
"Food & Beverage",2010,12,"188788"
"Fuel & Gasoline",2010,1,"38888"
"Fuel & Gasoline",2010,2,"36035"
"Fuel & Gasoline",2010,3,"40554"
"Fuel & Gasoline",2010,4,"40755"
"Fuel & Gasoline",2010,5,"41242"
"Fuel & Gasoline",2010,6,"40228"
"Fuel & Gasoline",2010,7,"40932"
"Fuel & Gasoline",2010,8,"40523"
"Fuel & Gasoline",2010,9,"39406"
"Fuel & Gasoline",2010,10,"41139"
"Fuel & Gasoline",2010,11,"40296"
"Fuel & Gasoline",2010,12,"43875"
"General Merchandise",2010,1,"103388"
"General Merchandise",2010,2,"106010"
"General Merchandise",2010,3,"116074"
"General Merchandise",2010,4,"113897"
"General Merchandise",2010,5,"120151"
"General Merchandise",2010,6,"115033"
"General Merchandise",2010,7,"115293"
"General Merchandise",2010,8,"117362"
"General Merchandise",2010,9,"108862"
"General Merchandise",2010,10,"116737"
"General Merchandise",2010,11,"134299"
"General Merchandise",2010,12,"176172"
"Health & Personal Care",2010,1,"38595"
"Health & Personal Care",2010,2,"37289"
"Health & Personal Care",2010,3,"41688"
"Health & Personal Care",2010,4,"39811"
"Health & Personal Care",2010,5,"39630"
"Health & Personal Care",2010,6,"39838"
"Health & Personal Care",2010,7,"39512"
"Health & Personal Care",2010,8,"39929"
"Health & Personal Care",2010,9,"39421"
"Health & Personal Care",2010,10,"40407"
"Health & Personal Care",2010,11,"40593"
"Health & Personal Care",2010,12,"45952"
"Home Goods & Building Supplies",2010,1,"30824"
"Home Goods & Building Supplies",2010,2,"30930"
"Home Goods & Building Supplies",2010,3,"42882"
"Home Goods & Building Supplies",2010,4,"50892"
"Home Goods & Building Supplies",2010,5,"50661"
"Home Goods & Building Supplies",2010,6,"49608"
"Home Goods & Building Supplies",2010,7,"45792"
"Home Goods & Building Supplies",2010,8,"43333"
"Home Goods & Building Supplies",2010,9,"42367"
"Home Goods & Building Supplies",2010,10,"43074"
"Home Goods & Building Supplies",2010,11,"42445"
"Home Goods & Building Supplies",2010,12,"40148"
"Home Goods & Electronics",2010,1,"64010"
"Home Goods & Electronics",2010,2,"63937"
"Home Goods & Electronics",2010,3,"69837"
"Home Goods & Electronics",2010,4,"65018"
"Home Goods & Electronics",2010,5,"66526"
"Home Goods & Electronics",2010,6,"68715"
"Home Goods & Electronics",2010,7,"68669"
"Home Goods & Electronics",2010,8,"71245"
"Home Goods & Electronics",2010,9,"68667"
"Home Goods & Electronics",2010,10,"66720"
"Home Goods & Electronics",2010,11,"80147"
"Home Goods & Electronics",2010,12,"101820"
"Miscellaneous",2010,1,"35431"
"Miscellaneous",2010,2,"33971"
"Miscellaneous",2010,3,"38239"
"Miscellaneous",2010,4,"35689"
"Miscellaneous",2010,5,"35547"
"Miscellaneous",2010,6,"36888"
"Miscellaneous",2010,7,"34905"
"Miscellaneous",2010,8,"36938"
"Miscellaneous",2010,9,"36976"
"Miscellaneous",2010,10,"37809"
"Miscellaneous",2010,11,"41629"
"Miscellaneous",2010,12,"52969"
"Office Supplies & Gifts",2010,1,"5268"
"Office Supplies & Gifts",2010,2,"5060"
"Office Supplies & Gifts",2010,3,"5394"
"Office Supplies & Gifts",2010,4,"5124"
"Office Supplies & Gifts",2010,5,"5346"
"Office Supplies & Gifts",2010,6,"5266"
"Office Supplies & Gifts",2010,7,"5340"
"Office Supplies & Gifts",2010,8,"6198"
"Office Supplies & Gifts",2010,9,"5808"
"Office Supplies & Gifts",2010,10,"6044"
"Office Supplies & Gifts",2010,11,"5914"
"Office Supplies & Gifts",2010,12,"7858"
"Restaurants & Bars",2010,1,"98962"
"Restaurants & Bars",2010,2,"98003"
"Restaurants & Bars",2010,3,"109434"
"Restaurants & Bars",2010,4,"108649"
"Restaurants & Bars",2010,5,"112779"
"Restaurants & Bars",2010,6,"109319"
"Restaurants & Bars",2010,7,"114007"
"Restaurants & Bars",2010,8,"111809"
"Restaurants & Bars",2010,9,"104554"
"Restaurants & Bars",2010,10,"110134"
"Restaurants & Bars",2010,11,"103168"
"Restaurants & Bars",2010,12,"110214"
"Sports & Recreation",2010,1,"11728"
"Sports & Recreation",2010,2,"9251"
"Sports & Recreation",2010,3,"11260"
"Sports & Recreation",2010,4,"10583"
"Sports & Recreation",2010,5,"11014"
"Sports & Recreation",2010,6,"11700"
"Sports & Recreation",2010,7,"11438"
"Sports & Recreation",2010,8,"13976"
"Sports & Recreation",2010,9,"11421"
"Sports & Recreation",2010,10,"10436"
"Sports & Recreation",2010,11,"13073"
"Sports & Recreation",2010,12,"20797"
"Automotive",2011,1,"215192"
"Automotive",2011,2,"232376"
"Automotive",2011,3,"277562"
"Automotive",2011,4,"255530"
"Automotive",2011,5,"253630"
"Automotive",2011,6,"255884"
"Automotive",2011,7,"253468"
"Automotive",2011,8,"261304"
"Automotive",2011,9,"246398"
"Automotive",2011,10,"242992"
"Automotive",2011,11,"236320"
"Automotive",2011,12,"264230"
"Fashion & Accessories",2011,1,"36241"
"Fashion & Accessories",2011,2,"41737"
"Fashion & Accessories",2011,3,"48451"
"Fashion & Accessories",2011,4,"49455"
"Fashion & Accessories",2011,5,"49550"
"Fashion & Accessories",2011,6,"47203"
"Fashion & Accessories",2011,7,"47527"
"Fashion & Accessories",2011,8,"50579"
"Fashion & Accessories",2011,9,"47528"
"Fashion & Accessories",2011,10,"48515"
"Fashion & Accessories",2011,11,"55756"
"Fashion & Accessories",2011,12,"81320"
"Food & Beverage",2011,1,"166960"
"Food & Beverage",2011,2,"158229"
"Food & Beverage",2011,3,"172166"
"Food & Beverage",2011,4,"174504"
"Food & Beverage",2011,5,"177712"
"Food & Beverage",2011,6,"175750"
"Food & Beverage",2011,7,"180739"
"Food & Beverage",2011,8,"178114"
"Food & Beverage",2011,9,"171508"
"Food & Beverage",2011,10,"175947"
"Food & Beverage",2011,11,"179224"
"Food & Beverage",2011,12,"197866"
"Fuel & Gasoline",2011,1,"43393"
"Fuel & Gasoline",2011,2,"41353"
"Fuel & Gasoline",2011,3,"48421"
"Fuel & Gasoline",2011,4,"48771"
"Fuel & Gasoline",2011,5,"50680"
"Fuel & Gasoline",2011,6,"49783"
"Fuel & Gasoline",2011,7,"50286"
"Fuel & Gasoline",2011,8,"50686"
"Fuel & Gasoline",2011,9,"48038"
"Fuel & Gasoline",2011,10,"48182"
"Fuel & Gasoline",2011,11,"46467"
"Fuel & Gasoline",2011,12,"46866"
"General Merchandise",2011,1,"104115"
"General Merchandise",2011,2,"108456"
"General Merchandise",2011,3,"118008"
"General Merchandise",2011,4,"120008"
"General Merchandise",2011,5,"121952"
"General Merchandise",2011,6,"121158"
"General Merchandise",2011,7,"119611"
"General Merchandise",2011,8,"121558"
"General Merchandise",2011,9,"114392"
"General Merchandise",2011,10,"120562"
"General Merchandise",2011,11,"137567"
"General Merchandise",2011,12,"180568"
"Health & Personal Care",2011,1,"41373"
"Health & Personal Care",2011,2,"39401"
"Health & Personal Care",2011,3,"43665"
"Health & Personal Care",2011,4,"41190"
"Health & Personal Care",2011,5,"42271"
"Health & Personal Care",2011,6,"41462"
"Health & Personal Care",2011,7,"40405"
"Health & Personal Care",2011,8,"42463"
"Health & Personal Care",2011,9,"41018"
"Health & Personal Care",2011,10,"41812"
"Health & Personal Care",2011,11,"41429"
"Health & Personal Care",2011,12,"46372"
"Home Goods & Building Supplies",2011,1,"32101"
"Home Goods & Building Supplies",2011,2,"31971"
"Home Goods & Building Supplies",2011,3,"43120"
"Home Goods & Building Supplies",2011,4,"47139"
"Home Goods & Building Supplies",2011,5,"53223"
"Home Goods & Building Supplies",2011,6,"52338"
"Home Goods & Building Supplies",2011,7,"46916"
"Home Goods & Building Supplies",2011,8,"47538"
"Home Goods & Building Supplies",2011,9,"44970"
"Home Goods & Building Supplies",2011,10,"45514"
"Home Goods & Building Supplies",2011,11,"44148"
"Home Goods & Building Supplies",2011,12,"41615"
"Home Goods & Electronics",2011,1,"66284"
"Home Goods & Electronics",2011,2,"66017"
"Home Goods & Electronics",2011,3,"74114"
"Home Goods & Electronics",2011,4,"67557"
"Home Goods & Electronics",2011,5,"70401"
"Home Goods & Electronics",2011,6,"71013"
"Home Goods & Electronics",2011,7,"70649"
"Home Goods & Electronics",2011,8,"76318"
"Home Goods & Electronics",2011,9,"72411"
"Home Goods & Electronics",2011,10,"71815"
"Home Goods & Electronics",2011,11,"87324"
"Home Goods & Electronics",2011,12,"108324"
"Miscellaneous",2011,1,"39082"
"Miscellaneous",2011,2,"37643"
"Miscellaneous",2011,3,"41576"
"Miscellaneous",2011,4,"38115"
"Miscellaneous",2011,5,"39723"
"Miscellaneous",2011,6,"39619"
"Miscellaneous",2011,7,"37228"
"Miscellaneous",2011,8,"41231"
"Miscellaneous",2011,9,"39931"
"Miscellaneous",2011,10,"41173"
"Miscellaneous",2011,11,"46523"
"Miscellaneous",2011,12,"56149"
"Office Supplies & Gifts",2011,1,"5082"
"Office Supplies & Gifts",2011,2,"5228"
"Office Supplies & Gifts",2011,3,"5360"
"Office Supplies & Gifts",2011,4,"5096"
"Office Supplies & Gifts",2011,5,"5580"
"Office Supplies & Gifts",2011,6,"5260"
"Office Supplies & Gifts",2011,7,"5230"
"Office Supplies & Gifts",2011,8,"6230"
"Office Supplies & Gifts",2011,9,"5832"
"Office Supplies & Gifts",2011,10,"5900"
"Office Supplies & Gifts",2011,11,"5656"
"Office Supplies & Gifts",2011,12,"7712"
"Restaurants & Bars",2011,1,"102992"
"Restaurants & Bars",2011,2,"103914"
"Restaurants & Bars",2011,3,"116865"
"Restaurants & Bars",2011,4,"115415"
"Restaurants & Bars",2011,5,"119101"
"Restaurants & Bars",2011,6,"116618"
"Restaurants & Bars",2011,7,"120708"
"Restaurants & Bars",2011,8,"118074"
"Restaurants & Bars",2011,9,"113364"
"Restaurants & Bars",2011,10,"116445"
"Restaurants & Bars",2011,11,"109448"
"Restaurants & Bars",2011,12,"119230"
"Sports & Recreation",2011,1,"11409"
"Sports & Recreation",2011,2,"9636"
"Sports & Recreation",2011,3,"11520"
"Sports & Recreation",2011,4,"11235"
"Sports & Recreation",2011,5,"11138"
"Sports & Recreation",2011,6,"11732"
"Sports & Recreation",2011,7,"11285"
"Sports & Recreation",2011,8,"14466"
"Sports & Recreation",2011,9,"11869"
"Sports & Recreation",2011,10,"10330"
"Sports & Recreation",2011,11,"12892"
"Sports & Recreation",2011,12,"19965"
"Automotive",2012,1,"230506"
"Automotive",2012,2,"261336"
"Automotive",2012,3,"299900"
"Automotive",2012,4,"270488"
"Automotive",2012,5,"293704"
"Automotive",2012,6,"278562"
"Automotive",2012,7,"277196"
"Automotive",2012,8,"298298"
"Automotive",2012,9,"264304"
"Automotive",2012,10,"267210"
"Automotive",2012,11,"258958"
"Automotive",2012,12,"278082"
"Fashion & Accessories",2012,1,"37888"
"Fashion & Accessories",2012,2,"46894"
"Fashion & Accessories",2012,3,"53712"
"Fashion & Accessories",2012,4,"49594"
"Fashion & Accessories",2012,5,"52785"
"Fashion & Accessories",2012,6,"49754"
"Fashion & Accessories",2012,7,"48541"
"Fashion & Accessories",2012,8,"54654"
"Fashion & Accessories",2012,9,"48669"
"Fashion & Accessories",2012,10,"50182"
"Fashion & Accessories",2012,11,"58594"
"Fashion & Accessories",2012,12,"81896"
"Food & Beverage",2012,1,"172047"
"Food & Beverage",2012,2,"170490"
"Food & Beverage",2012,3,"182422"
"Food & Beverage",2012,4,"176051"
"Food & Beverage",2012,5,"186376"
"Food & Beverage",2012,6,"182428"
"Food & Beverage",2012,7,"182417"
"Food & Beverage",2012,8,"185363"
"Food & Beverage",2012,9,"176415"
"Food & Beverage",2012,10,"180828"
"Food & Beverage",2012,11,"185560"
"Food & Beverage",2012,12,"201307"
"Fuel & Gasoline",2012,1,"45955"
"Fuel & Gasoline",2012,2,"46271"
"Fuel & Gasoline",2012,3,"51700"
"Fuel & Gasoline",2012,4,"50256"
"Fuel & Gasoline",2012,5,"51498"
"Fuel & Gasoline",2012,6,"48481"
"Fuel & Gasoline",2012,7,"48715"
"Fuel & Gasoline",2012,8,"52454"
"Fuel & Gasoline",2012,9,"49559"
"Fuel & Gasoline",2012,10,"52006"
"Fuel & Gasoline",2012,11,"48001"
"Fuel & Gasoline",2012,12,"46458"
"General Merchandise",2012,1,"106749"
"General Merchandise",2012,2,"116928"
"General Merchandise",2012,3,"125669"
"General Merchandise",2012,4,"119460"
"General Merchandise",2012,5,"125309"
"General Merchandise",2012,6,"123224"
"General Merchandise",2012,7,"119208"
"General Merchandise",2012,8,"126779"
"General Merchandise",2012,9,"116250"
"General Merchandise",2012,10,"121137"
"General Merchandise",2012,11,"140987"
"General Merchandise",2012,12,"178930"
"Health & Personal Care",2012,1,"42144"
"Health & Personal Care",2012,2,"41664"
"Health & Personal Care",2012,3,"43783"
"Health & Personal Care",2012,4,"41657"
"Health & Personal Care",2012,5,"43065"
"Health & Personal Care",2012,6,"40448"
"Health & Personal Care",2012,7,"40714"
"Health & Personal Care",2012,8,"42136"
"Health & Personal Care",2012,9,"39212"
"Health & Personal Care",2012,10,"42310"
"Health & Personal Care",2012,11,"41021"
"Health & Personal Care",2012,12,"45797"
"Home Goods & Building Supplies",2012,1,"35924"
"Home Goods & Building Supplies",2012,2,"36865"
"Home Goods & Building Supplies",2012,3,"47107"
"Home Goods & Building Supplies",2012,4,"49785"
"Home Goods & Building Supplies",2012,5,"56513"
"Home Goods & Building Supplies",2012,6,"50600"
"Home Goods & Building Supplies",2012,7,"47633"
"Home Goods & Building Supplies",2012,8,"48304"
"Home Goods & Building Supplies",2012,9,"44307"
"Home Goods & Building Supplies",2012,10,"48689"
"Home Goods & Building Supplies",2012,11,"46347"
"Home Goods & Building Supplies",2012,12,"41516"
"Home Goods & Electronics",2012,1,"71721"
"Home Goods & Electronics",2012,2,"73248"
"Home Goods & Electronics",2012,3,"78070"
"Home Goods & Electronics",2012,4,"69757"
"Home Goods & Electronics",2012,5,"76695"
"Home Goods & Electronics",2012,6,"74410"
"Home Goods & Electronics",2012,7,"75532"
"Home Goods & Electronics",2012,8,"80586"
"Home Goods & Electronics",2012,9,"74466"
"Home Goods & Electronics",2012,10,"75598"
"Home Goods & Electronics",2012,11,"92656"
"Home Goods & Electronics",2012,12,"112866"
"Miscellaneous",2012,1,"41669"
"Miscellaneous",2012,2,"41679"
"Miscellaneous",2012,3,"43585"
"Miscellaneous",2012,4,"40478"
"Miscellaneous",2012,5,"43605"
"Miscellaneous",2012,6,"41328"
"Miscellaneous",2012,7,"40905"
"Miscellaneous",2012,8,"44110"
"Miscellaneous",2012,9,"41205"
"Miscellaneous",2012,10,"45101"
"Miscellaneous",2012,11,"50198"
"Miscellaneous",2012,12,"59054"
"Office Supplies & Gifts",2012,1,"5294"
"Office Supplies & Gifts",2012,2,"5388"
"Office Supplies & Gifts",2012,3,"5286"
"Office Supplies & Gifts",2012,4,"4872"
"Office Supplies & Gifts",2012,5,"5574"
"Office Supplies & Gifts",2012,6,"5114"
"Office Supplies & Gifts",2012,7,"5186"
"Office Supplies & Gifts",2012,8,"6106"
"Office Supplies & Gifts",2012,9,"5288"
"Office Supplies & Gifts",2012,10,"5834"
"Office Supplies & Gifts",2012,11,"5554"
"Office Supplies & Gifts",2012,12,"7412"
"Restaurants & Bars",2012,1,"110338"
"Restaurants & Bars",2012,2,"113608"
"Restaurants & Bars",2012,3,"126746"
"Restaurants & Bars",2012,4,"120795"
"Restaurants & Bars",2012,5,"125493"
"Restaurants & Bars",2012,6,"124568"
"Restaurants & Bars",2012,7,"124371"
"Restaurants & Bars",2012,8,"125053"
"Restaurants & Bars",2012,9,"117887"
"Restaurants & Bars",2012,10,"119779"
"Restaurants & Bars",2012,11,"117240"
"Restaurants & Bars",2012,12,"126040"
"Sports & Recreation",2012,1,"11342"
"Sports & Recreation",2012,2,"10256"
"Sports & Recreation",2012,3,"12169"
"Sports & Recreation",2012,4,"11169"
"Sports & Recreation",2012,5,"11889"
"Sports & Recreation",2012,6,"12398"
"Sports & Recreation",2012,7,"11672"
"Sports & Recreation",2012,8,"14613"
"Sports & Recreation",2012,9,"11706"
"Sports & Recreation",2012,10,"10796"
"Sports & Recreation",2012,11,"13287"
"Sports & Recreation",2012,12,"20893"
"Automotive",2013,1,"258730"
"Automotive",2013,2,"272626"
"Automotive",2013,3,"310928"
"Automotive",2013,4,"301336"
"Automotive",2013,5,"320178"
"Automotive",2013,6,"305102"
"Automotive",2013,7,"319208"
"Automotive",2013,8,"329640"
"Automotive",2013,9,"280736"
"Automotive",2013,10,"292966"
"Automotive",2013,11,"281840"
"Automotive",2013,12,"294406"
"Fashion & Accessories",2013,1,"40126"
"Fashion & Accessories",2013,2,"45447"
"Fashion & Accessories",2013,3,"54735"
"Fashion & Accessories",2013,4,"50938"
"Fashion & Accessories",2013,5,"55049"
"Fashion & Accessories",2013,6,"50436"
"Fashion & Accessories",2013,7,"51022"
"Fashion & Accessories",2013,8,"56811"
"Fashion & Accessories",2013,9,"48164"
"Fashion & Accessories",2013,10,"52932"
"Fashion & Accessories",2013,11,"59847"
"Fashion & Accessories",2013,12,"82301"
"Food & Beverage",2013,1,"178191"
"Food & Beverage",2013,2,"169651"
"Food & Beverage",2013,3,"189320"
"Food & Beverage",2013,4,"175261"
"Food & Beverage",2013,5,"191717"
"Food & Beverage",2013,6,"185433"
"Food & Beverage",2013,7,"188446"
"Food & Beverage",2013,8,"191761"
"Food & Beverage",2013,9,"179042"
"Food & Beverage",2013,10,"186569"
"Food & Beverage",2013,11,"192755"
"Food & Beverage",2013,12,"205507"
"Fuel & Gasoline",2013,1,"46778"
"Fuel & Gasoline",2013,2,"46861"
"Fuel & Gasoline",2013,3,"51746"
"Fuel & Gasoline",2013,4,"49688"
"Fuel & Gasoline",2013,5,"51391"
"Fuel & Gasoline",2013,6,"50266"
"Fuel & Gasoline",2013,7,"51723"
"Fuel & Gasoline",2013,8,"51532"
"Fuel & Gasoline",2013,9,"48299"
"Fuel & Gasoline",2013,10,"49527"
"Fuel & Gasoline",2013,11,"46132"
"Fuel & Gasoline",2013,12,"48426"
"General Merchandise",2013,1,"108884"
"General Merchandise",2013,2,"113709"
"General Merchandise",2013,3,"128452"
"General Merchandise",2013,4,"117638"
"General Merchandise",2013,5,"129370"
"General Merchandise",2013,6,"125205"
"General Merchandise",2013,7,"121795"
"General Merchandise",2013,8,"129990"
"General Merchandise",2013,9,"117462"
"General Merchandise",2013,10,"124782"
"General Merchandise",2013,11,"143648"
"General Merchandise",2013,12,"178752"
"Health & Personal Care",2013,1,"43075"
"Health & Personal Care",2013,2,"39885"
"Health & Personal Care",2013,3,"43044"
"Health & Personal Care",2013,4,"41840"
"Health & Personal Care",2013,5,"43193"
"Health & Personal Care",2013,6,"40475"
"Health & Personal Care",2013,7,"42298"
"Health & Personal Care",2013,8,"42667"
"Health & Personal Care",2013,9,"41713"
"Health & Personal Care",2013,10,"44244"
"Health & Personal Care",2013,11,"42416"
"Health & Personal Care",2013,12,"48337"
"Home Goods & Building Supplies",2013,1,"38467"
"Home Goods & Building Supplies",2013,2,"37062"
"Home Goods & Building Supplies",2013,3,"45223"
"Home Goods & Building Supplies",2013,4,"55251"
"Home Goods & Building Supplies",2013,5,"61988"
"Home Goods & Building Supplies",2013,6,"53833"
"Home Goods & Building Supplies",2013,7,"53998"
"Home Goods & Building Supplies",2013,8,"51776"
"Home Goods & Building Supplies",2013,9,"48092"
"Home Goods & Building Supplies",2013,10,"51523"
"Home Goods & Building Supplies",2013,11,"47057"
"Home Goods & Building Supplies",2013,12,"43682"
"Home Goods & Electronics",2013,1,"77581"
"Home Goods & Electronics",2013,2,"74154"
"Home Goods & Electronics",2013,3,"78865"
"Home Goods & Electronics",2013,4,"74419"
"Home Goods & Electronics",2013,5,"78490"
"Home Goods & Electronics",2013,6,"75549"
"Home Goods & Electronics",2013,7,"78928"
"Home Goods & Electronics",2013,8,"82442"
"Home Goods & Electronics",2013,9,"77653"
"Home Goods & Electronics",2013,10,"80400"
"Home Goods & Electronics",2013,11,"93980"
"Home Goods & Electronics",2013,12,"114815"
"Miscellaneous",2013,1,"45683"
"Miscellaneous",2013,2,"42409"
"Miscellaneous",2013,3,"44944"
"Miscellaneous",2013,4,"43795"
"Miscellaneous",2013,5,"45530"
"Miscellaneous",2013,6,"41967"
"Miscellaneous",2013,7,"43463"
"Miscellaneous",2013,8,"45103"
"Miscellaneous",2013,9,"43151"
"Miscellaneous",2013,10,"46655"
"Miscellaneous",2013,11,"50464"
"Miscellaneous",2013,12,"64099"
"Office Supplies & Gifts",2013,1,"4996"
"Office Supplies & Gifts",2013,2,"4844"
"Office Supplies & Gifts",2013,3,"5064"
"Office Supplies & Gifts",2013,4,"4928"
"Office Supplies & Gifts",2013,5,"5408"
"Office Supplies & Gifts",2013,6,"5012"
"Office Supplies & Gifts",2013,7,"5570"
"Office Supplies & Gifts",2013,8,"6530"
"Office Supplies & Gifts",2013,9,"5466"
"Office Supplies & Gifts",2013,10,"6298"
"Office Supplies & Gifts",2013,11,"5428"
"Office Supplies & Gifts",2013,12,"6650"
"Restaurants & Bars",2013,1,"116432"
"Restaurants & Bars",2013,2,"115261"
"Restaurants & Bars",2013,3,"132509"
"Restaurants & Bars",2013,4,"125919"
"Restaurants & Bars",2013,5,"131729"
"Restaurants & Bars",2013,6,"126997"
"Restaurants & Bars",2013,7,"127417"
"Restaurants & Bars",2013,8,"130746"
"Restaurants & Bars",2013,9,"120106"
"Restaurants & Bars",2013,10,"126440"
"Restaurants & Bars",2013,11,"124966"
"Restaurants & Bars",2013,12,"129610"
"Sports & Recreation",2013,1,"12290"
"Sports & Recreation",2013,2,"10428"
"Sports & Recreation",2013,3,"12412"
"Sports & Recreation",2013,4,"11161"
"Sports & Recreation",2013,5,"11978"
"Sports & Recreation",2013,6,"12241"
"Sports & Recreation",2013,7,"12075"
"Sports & Recreation",2013,8,"14574"
"Sports & Recreation",2013,9,"11828"
"Sports & Recreation",2013,10,"11267"
"Sports & Recreation",2013,11,"14159"
"Sports & Recreation",2013,12,"21257"
"Automotive",2014,1,"263344"
"Automotive",2014,2,"280106"
"Automotive",2014,3,"338038"
"Automotive",2014,4,"326776"
"Automotive",2014,5,"346468"
"Automotive",2014,6,"321622"
"Automotive",2014,7,"339832"
"Automotive",2014,8,"347308"
"Automotive",2014,9,"311394"
"Automotive",2014,10,"315618"
"Automotive",2014,11,"297142"
"Automotive",2014,12,"327814"
"Fashion & Accessories",2014,1,"40184"
"Fashion & Accessories",2014,2,"45763"
"Fashion & Accessories",2014,3,"53409"
"Fashion & Accessories",2014,4,"54102"
"Fashion & Accessories",2014,5,"57156"
"Fashion & Accessories",2014,6,"50488"
"Fashion & Accessories",2014,7,"52750"
"Fashion & Accessories",2014,8,"57980"
"Fashion & Accessories",2014,9,"49650"
"Fashion & Accessories",2014,10,"54081"
"Fashion & Accessories",2014,11,"62937"
"Fashion & Accessories",2014,12,"85463"
"Food & Beverage",2014,1,"186545"
"Food & Beverage",2014,2,"174460"
"Food & Beverage",2014,3,"189997"
"Food & Beverage",2014,4,"188125"
"Food & Beverage",2014,5,"200941"
"Food & Beverage",2014,6,"191996"
"Food & Beverage",2014,7,"198145"
"Food & Beverage",2014,8,"199911"
"Food & Beverage",2014,9,"187639"
"Food & Beverage",2014,10,"197399"
"Food & Beverage",2014,11,"200907"
"Food & Beverage",2014,12,"215719"
"Fuel & Gasoline",2014,1,"49283"
"Fuel & Gasoline",2014,2,"46508"
"Fuel & Gasoline",2014,3,"51258"
"Fuel & Gasoline",2014,4,"50456"
"Fuel & Gasoline",2014,5,"52984"
"Fuel & Gasoline",2014,6,"50700"
"Fuel & Gasoline",2014,7,"51918"
"Fuel & Gasoline",2014,8,"51508"
"Fuel & Gasoline",2014,9,"48575"
"Fuel & Gasoline",2014,10,"49129"
"Fuel & Gasoline",2014,11,"44387"
"Fuel & Gasoline",2014,12,"41926"
"General Merchandise",2014,1,"110172"
"General Merchandise",2014,2,"114657"
"General Merchandise",2014,3,"126857"
"General Merchandise",2014,4,"124490"
